product id,product,product link,product name,category,color,material,support color,support material ,product image ,image link,length,breadth,height,price,description,,,,,,,,,,,,,,
ch09,ch09.glb,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/ch09.glb?alt=media&token=648fdb2f-9810-4129-9145-332a3ad3836d,,chair,gray,cloth,gray,wood,ch09.png,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/images%2Fch09.png?alt=media&token=3de8b4a2-fdbc-445e-a498-4482b4399cd0,201,199,94,6000,,,,,,,,,,,,,,,
ch10,ch10.glb,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/ch10.glb?alt=media&token=3a538bc1-83fd-4a1b-83c0-f95fe97e1659,,chair,whitesmoke,cloth,sienna,wood,ch10.jpg,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/images%2Fch10.jpg?alt=media&token=c7d09e6e-0b05-42d0-87f7-b20be1b53711,82,81,69,6400,,,,,,,,,,,,,,,
ch11,ch11.glb,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/ch11.glb?alt=media&token=d04f55de-c9f4-4281-b806-ce7ec36f48a1,,chair,blue,cloth,tan,metal,ch11.jpg,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/images%2Fch11.jpg?alt=media&token=01fca630-a444-4ddf-8c40-3fbe15a4ff32,56,53,85,9000,,,,,,,,,,,,,,,
ch12,ch12.glb,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/ch12.glb?alt=media&token=6e99d423-01ec-40e7-8276-7047af8f80c4,,chair,burlywood,wood,burlywood,wood,ch12.jpg,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/images%2Fch12.jpg?alt=media&token=6fa140df-6537-4816-a94c-0e5295e623d6,77,62,53,10000,,,,,,,,,,,,,,,
dk01,dk01.glb,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/dk01.glb?alt=media&token=dee353b4-74dd-4dd5-990f-9312a141ee69,,desk,sienna,wood,darkslategray,metal,dk01.jpg,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/images%2Fdk01.jpg?alt=media&token=0c46088f-77d4-4f0e-be75-fd05b9026da7,236,104,106,6920,,,,,,,,,,,,,,,
la01,la01.glb,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/la01.glb?alt=media&token=abb5623d-fac7-445d-89ea-017f16dbc17e,table lamp,lamp,lightgray,plastic,dimgray,plastic,la01.jpg,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/images%2Fla01.jpg?alt=media&token=badb0ab2-fbb6-485a-a3f6-180b843e173c,28,28,50,1050,,,,,,,,,,,,,,,
la02,la02.glb,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/la02.glb?alt=media&token=619b28d8-118b-40b1-9055-87e45c42443b,,lamp,whitesmoke,plastic ,brown,metal,la02.jpg,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/images%2Fla02.jpg?alt=media&token=e08ac2dc-a871-49fa-8d35-d22d9a6f41c1,39,38,157,1000,,,,,,,,,,,,,,,
la03,la03.glb,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/la03.glb?alt=media&token=d870811b-0be9-406f-9882-2cf576607a82,,lamp,peru,plastic ,peru,metal,la03.jpg,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/images%2Fla03.jpg?alt=media&token=29de2f7d-69bb-4dfc-b84f-99e99d8a7d4c,44,41,155,2000,,,,,,,,,,,,,,,
la04,la04.gltf,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/la04.gltf?alt=media&token=8ce20356-2f13-41d7-abc9-def49bd87d29,,lamp,gray,metal,gray,metal,la04.jpg,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/images%2Fla04.jpg?alt=media&token=52c49055-ad7e-4d75-95e7-65c0cfb078d1,84,45,45,5000,,,,,,,,,,,,,,,
la05,la05.glb,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/la05.glb?alt=media&token=176cd7c4-179c-4e6d-9882-5cd502f997b7,,lamp,gray,metal,black,metal,la05.jpg,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/images%2Fla05.jpg?alt=media&token=9d68036a-c10b-412e-80eb-9723d146b6e0,624,617,610,5600,,,,,,,,,,,,,,,
ns01,ns01.glb,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/ns01.glb?alt=media&token=21764c87-a873-4f26-8e8b-57756685ed69,,night stand,sienna,wood,sienna,wood,ns01.jpg,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/images%2Fns01.jpg?alt=media&token=d4b74ecd-288c-4706-8b17-aeaf99196923,105,109,149,1000,,,,,,,,,,,,,,,
ot01,ot01.glb,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/ot01.glb?alt=media&token=441a76c1-b571-4c28-a46b-73ef919853d2,,ottoman,whitesmoke,leather,brown,wood,ot01.jpg,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/images%2Fot01.jpg?alt=media&token=0be5b154-d879-4c66-9aaa-41d9a76e614b,121,97,144,7520,,,,,,,,,,,,,,,
po01,po01.glb,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/po01.glb?alt=media&token=b4de5f9f-6f30-4ad7-a0db-b486c3711b12,,pouf,whitesmoke,leather,whitesmoke,wood,po01.jpg,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/images%2Fpo01.jpg?alt=media&token=a321c5d0-6afd-4149-820d-b1492920fc7a,75,45,26,6500,,,,,,,,,,,,,,,
sc01,sc01.gltf,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/sc01.gltf?alt=media&token=012d7424-75e1-463a-bb07-14b454806ced,,shoe cabinet,whitesmoke,wood,whitesmoke,wood,sc01.jpg,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/images%2Fsc01.jpg?alt=media&token=e00970aa-e74c-411c-a182-13ab1965e2b4,80,38,66,2000,,,,,,,,,,,,,,,
so01,so01.glb,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/so01.glb?alt=media&token=f1e24fc9-622d-4e5b-9ab8-8f6e89115234,,sofa,dimgray,cloth,dimgray,wood,so01.jpg,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/images%2Fso01.jpg?alt=media&token=d6d0fc16-8eaf-49db-832b-97723c6eeea7,431,256,122,10000,,,,,,,,,,,,,,,
so02,so02.glb,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/so02.glb?alt=media&token=a9153cee-ab4f-4e72-8be3-bf7342f782d0,,sofa,sienna,cloth,sienna,wood,so02.jpg,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/images%2Fso02.jpg?alt=media&token=df46b567-ffd4-42fc-9779-a4a38be86e1d,178,60,42,6000,,,,,,,,,,,,,,,
so03,so03.glb,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/so03.glb?alt=media&token=8a52d47f-5b02-42bd-b01a-4fb0c6b83291,,sofa,rosybrown,cloth,rosybrown,wood,so03.jpg,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/images%2Fso03.jpg?alt=media&token=0d56be22-d9bb-47bd-837a-a26b274991bc,353042,104468,92105,5000,,,,,,,,,,,,,,,
so04,so04.glb,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/so04.glb?alt=media&token=539b9a10-f1a0-472f-a641-3197a40d5e03,,sofa,darkslategray,cloth,darkslategray,wood,so04.jpg,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/images%2Fso04.jpg?alt=media&token=19771b82-7c7d-49e7-b648-eb5a846d7104,231834,90777,82722,12000,,,,,,,,,,,,,,,
so08,so08.glb,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/so08.glb?alt=media&token=9cfa508c-07a1-41e3-86fe-04db3a4d3809,,sofa,lightgray,foam,lightgray,wood,so08.jpg,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/images%2Fso08.jpg?alt=media&token=4c19a801-188c-4a44-9c85-3ad1bec98258,600,302,101,6520,,,,,,,,,,,,,,,
so11,so11.glb,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/so11.glb?alt=media&token=bae04936-6173-4750-9858-93327f4f3ead,,sofa,antiquewhite,cloth,antiquewhite,wood,so11.jpg,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/images%2Fso11.jpg?alt=media&token=2f526774-a9a7-49f3-9711-960c240c7326,244,127,77,20000,,,,,,,,,,,,,,,
so13,so13.glb,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/so13.glb?alt=media&token=58cd86f4-e229-4415-bea4-753d51c159eb,,sofa,antiquewhite,leather,antiquewhite,wood,so13.jpg,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/images%2Fso13.jpg?alt=media&token=37a0e461-45ec-420d-9032-d70c033a8a6f,227,89,83,20000,,,,,,,,,,,,,,,
ta01,ta01.gltf,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/ta01.gltf?alt=media&token=5221c32d-a251-4b26-bf38-9ef4942f8b43,,table,rosybrown,wood,dimgray,metal,ta01.jpg,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/images%2Fta01.jpg?alt=media&token=9c0231ae-d085-4d7e-9997-331263338238,42,32,72,6520,,,,,,,,,,,,,,,
ta02,ta02.glb,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/ta02.glb?alt=media&token=57802a72-8df1-4bb1-9558-ccd02061c302,,table,gainsboro,glass,black,wood,ta02.jpg,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/images%2Fta02.jpg?alt=media&token=0fda8a0e-f871-4568-a8dc-c74a123085af,83,83,37,7520,,,,,,,,,,,,,,,
ta03,ta03.glb,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/ta03.glb?alt=media&token=0a876d5f-24dc-414f-b246-1fb19c6fd0dd,,table,whitesmoke,plastic,whitesmoke,plastic,ta03.jpg,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/images%2Fta03.jpg?alt=media&token=6ee53208-3168-4fdd-8d5b-f41d2fa3b317,153,153,151,4000,,,,,,,,,,,,,,,
ta04,ta04.glb,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/ta04.glb?alt=media&token=f6716a57-36be-4ca7-85be-7bfd5b3cdb62,,table,darkslategray,metal,darkslategray,metal,ta04.jpg,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/images%2Fta04.jpg?alt=media&token=6aca998a-07c1-4591-b9f6-6ed658904edf,54,54,58,4500,,,,,,,,,,,,,,,
ta05,ta05.glb,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/ta05.glb?alt=media&token=c1931191-6e1b-4768-be88-d3d988f9829a,,table,black,metal,black,metal,ta05.jpg,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/images%2Fta05.jpg?alt=media&token=9edac1a8-ede9-4c55-b904-3188d0bf753b,165,165,41,2500,,,,,,,,,,,,,,,
ta06,ta06.glb,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/ta06.glb?alt=media&token=08855ff3-0964-4710-bfaa-48b6fcc75fbb,,table,rosybrown,wood,black,wood,ta06.jpg,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/images%2Fta06.jpg?alt=media&token=2699ba17-0a06-4919-afcf-391e8e6e67e6,91,46,46,5000,,,,,,,,,,,,,,,
ta07,ta07.glb,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/ta07.glb?alt=media&token=907c5f02-c28f-421b-a156-734a48dc3876,,table,sienna,ceramic,sienna,metal,ta07.jpg,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/images%2Fta07.jpg?alt=media&token=e5833af7-a649-4f48-af1f-798404b5d678,112,112,79,5940,,,,,,,,,,,,,,,
ta09,ta09.glb,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/ta09.glb?alt=media&token=92a883a6-51e0-4ef0-8af3-46f45ef3fc7a,,table,sienna,wood,sienna,wood,ta09.jpg,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/images%2Fta09.jpg?alt=media&token=b49a4b0c-52ac-4eab-b391-cb37dac3ec87,308,222,140,20000,,,,,,,,,,,,,,,
to01,toilet.gltf,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/toilet.gltf?alt=media&token=b25f8264-b2e4-461a-af9e-76fa52bdda8b,,toilet,white,ceramic,white,ceramic,to01.jpg,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/images%2Fto01.jpg?alt=media&token=e6627508-01f8-424e-a978-86dd08280319,61,48,74,10000,,,,,,,,,,,,,,,
wa01,wa01.glb,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/wa01.glb?alt=media&token=52c0defd-bf16-4db6-ae60-c9ddc7404dbf,,wardrobe,rosybrown,wood,rosybrown,wood,wa01.jpg,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/images%2Fwa01.jpg?alt=media&token=5e486af9-9cbd-4013-8a41-21edb4bda26d,271,92,207,15000,,,,,,,,,,,,,,,
wa02,wa02.glb,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/wa02.glb?alt=media&token=fface7f3-9822-41ab-a8da-34d6d85e46a0,,wardrobe,black,wood,black,wood,wa02.jpg,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/images%2Fwa02.jpg?alt=media&token=b584a501-9dc1-41da-b68f-651ff88055da,181,180,43,25000,,,,,,,,,,,,,,,
ca03,ca03.glb,,,cabinet,sienna,wood,black,metal,ca03.jpg,,180,48,94,6500,,,,,,,,,,,,,,,
la06,la06.gltf,,,lamp,white,plastic,tan,metal,la06.jpg,,32,32,72,3600,,,,,,,,,,,,,,,
ch13,ch13.glb,,,chair,grey,cloth,tan,metal,ch13.jpg,,54,47,64,10000,,,,,,,,,,,,,,,
ta10,ta10.glb,,,table,darkbrown,metal,darkbrown,metal,ta10.jpg,,200,200,120,6529,,,,,,,,,,,,,,,
ch14,ch14.glb,,Rattan Chair ,chair,saddlebrown,wood,saddlebrown,wood,ch14.jpg,,31,28,51,3500,,,,,,,,,,,,,,,
ch15,ch15.glb,,Poltrona Linho,chair,tan,leather,tan,wood,ch15.jpg,,91,75,94,7900,,,,,,,,,,,,,,,
ch16,ch16.glb,,Bertoia side chair,chair,dimgray,metal,dimgray,metal,ch16.jpg,,52,48,73,3500,,,,,,,,,,,,,,,
ch17,ch17.glb,,High modern chair,chair,black,leather,dimgray,metal,ch17.jpg, ,50,50,115,9600,,,,,,,,,,,,,,,
la07,la07.glb,,Globe lamp,lamp,dimgray,metal,dimgray,metal,la07.jpg,,23,17,18,6500,,,,,,,,,,,,,,,
ca04,ca04.glb,,Closet modern bookcase,cabinet,gainsboro,wood,gainsboro,wood,ca04.jpg,,1184,273,410,15000,,,,,,,,,,,,,,,
bs03,bs03.glb,,Bamboo Bookcase,bookshelf,linen,wood,linen,wood,bs03.jpg,,13258,3755,15978,12500,,,,,,,,,,,,,,,
ta11,ta11.glb,,Dinner table,table,black,wood,black,wood,ta11.jpg,,195,120,93,11000,,,,,,,,,,,,,,,
ch18,ch18.glb,,Lounge Chair,chair,dimgray,cloth,dimgray,wood,ch18.jpg,,266,241,249,9500,,,,,,,,,,,,,,,
ta12,ta12.glb,,Coffee Table,table,darkbrown,wood,darkbrown,wood,ta12.jpg,,91,91,38,9999,,,,,,,,,,,,,,,
ch19,ch19.glb,,Red Velvet Chair,chair,red,velvet,red,velvet,ch19.jpg,,201,199,94,6500,,,,,,,,,,,,,,,
ch20,ch20.glb,,Chair,chair,tan,velvet,sienna,metal,ch20.jpg,,16,17,23,5000,,,,,,,,,,,,,,,
so14,so14.glb,,Chesterfield Sofa,sofa,black,leather,black,wood,so14.jpg,,178,89,98,15200,,,,,,,,,,,,,,,
so15,so15.glb,,JYSK MARIAGER,sofa,dimgray,cloth,dimgray,wood,so15.jpg,,234,167,88,16200,,,,,,,,,,,,,,,
so16,so16.glb,,fabric sofa,sofa,tan,cloth,tan,wood,so16.jpg,,893,403,380,13200,,,,,,,,,,,,,,,
so17,so17.glb,,Sofa in grey color,sofa,dimgray,cloth,dimgray,wood,so17.jpg,,1011,391,348,12630,,,,,,,,,,,,,,,
ch21,ch21.glb,,Armchair,chair,yellow,wood,tan,wood,ch21.jpg,,110,110,83,9652,,,,,,,,,,,,,,,
ta13,ta13.glb,,tv table,table,whitesmoke,wood,whitesmoke,wood,ta13.jpg,,173,53,161,16210,,,,,,,,,,,,,,,
la08,la08.glb,,lamp,lamp,saddlebrown,wood,saddlebrown,wood,la08.jpg,,32,32,66,12600,,,,,,,,,,,,,,,
wa03,wa03.glb,,Wooden Wardrobe,wardrobe,rosybrown,wood,rosybrown,wood,wa03.jpg,,117,54,200,16200,,,,,,,,,,,,,,,
ch22,ch22.gltf,,School Chair,chair,black,plastic,dimgray,metal,ch22.jpg,,60,60,85,6520,,,,,,,,,,,,,,,
ta14,ta14.glb,,Simple Classic Table,table,sienna,wood,sienna,wood,ta14.jpg,,112,48,58,6521,,,,,,,,,,,,,,,
la09,la09.glb,,Table Lamp,lamp,dimgray,plastic,black,metal,la09.jpg,,5154,2674,5096,6523,,,,,,,,,,,,,,,
ta15,ta15.glb,,accent table,table,saddlebrown,metal,golden,metal,ta15.jpg,,90,90,54,5200,,,,,,,,,,,,,,,
la10,la10.glb,,Table Lamp,lamp,tan,plastic,dimgray,metal,la10.jpg,,28,28,50,6532,,,,,,,,,,,,,,,
ta16,ta16.glb,,Industrial table,table,saddlebrown,wood,black,metal,ta16.jpg,,200,93,72,9500,,,,,,,,,,,,,,,
ch23,ch23.glb,,Rattan Armchair ,chair,tan,metal,black,metal,ch23.jpg,,79,65,77,9632,,,,,,,,,,,,,,,
ta17,ta17.glb,,Stool round side table,table,gainsboro,wood,gainsboro,metal,ta17.jpg,,51,51,66,9569,,,,,,,,,,,,,,,
ta18,ta18.glb,,Carver Coffee Table,table,gray,wood,dimgray,wood,ta18.jpg,,90,90,43,10000,,,,,,,,,,,,,,,
ca05,ca05.glb,,Wooden Cabinet,cabinet,sienna,wood,sienna,wood,ca05.jpg,,5761,2057,5106,15633,,,,,,,,,,,,,,,
ch24,ch24.glb,,Waiting Chair,chair,silver,metal,silver,metal,ch24.jpg,,179,80,90,20000,,,,,,,,,,,,,,,
bs04,bs04.glb,,Shelving wooden bookshelf,bookshelf,tan,wood,black,metal,bs04.jpg,,224,109,404,9650,,,,,,,,,,,,,,,
ch25,ch25.glb,,Chair,chair,whitesmoke,velvet,black,metal,ch25.jpg,,38,34,51,8620,,,,,,,,,,,,,,,
ch26,ch26.glb,,Ikea chair,chair,rosybrown,wood,dimgray,metal,ch26.jpg,,69,52,92,10000,,,,,,,,,,,,,,,
ch27,ch27.glb,,Medium white armchair,chair,whitesmoke,leather,rosybrown,wood,ch27.jpg,,245,198,210,12000,,,,,,,,,,,,,,,
la11,la11.glb,,Lamp,lamp,whitesmoke,plastic,whitesmoke,plastic, la11.jpg,,518,206,469,9600,,,,,,,,,,,,,,,
ta19,ta19.glb,,Small coffe table,table,black,metal,black,metal,ta19.jpg,,42,41,59,5620,,,,,,,,,,,,,,,
ca06,ca06.glb,,Wooden Cabinet,cabinet,rosybrown,wood,rosybrown,wood,ca06.jpg,,120,38,182,12000,,,,,,,,,,,,,,,
ta20,ta20.glb,,table,table,sienna,wood,black,metal,ta20.jpg,,100,50,50,5620,,,,,,,,,,,,,,,
so18,so18.glb,,Ceni Volcanic Gray Sofa ,sofa,gray,cloth,saddlebrown,wood,so18.jpg,,2106,876,780,16200,,,,,,,,,,,,,,,
ch28,ch28.glb,,Rattan Chair ,chair,gainsboro,wood,gainsboro,wood,ch28.jpg,,55,55,82,9600,,,,,,,,,,,,,,,
ch29,ch29.glb,,Rattan Chair ,chair,darkgoldenrod,wood,silver,metal,ch29.jpg,,58,47,80,5600,,,,,,,,,,,,,,,
ca07,ca07.glb,,Mini Cupboard,cabinet,rosybrown,wood,rosybrown,wood,ca07.jpg,,247,219,292,6500,,,,,,,,,,,,,,,
ca08,ca08.glb,,Sideboard wood,cabinet,tan,wood,rosybrown,wood,ca08.jpg,,80,41,81,12000,,,,,,,,,,,,,,,
so05,so05.glb,,Chesterfield Rolled Arm Sofa,sofa,tan,leather,tan,wood,so05.jpg,,183,102,76,9620,,,,,,,,,,,,,,,
so06,so06.glb,,Burlington Leather Sofa,sofa,darkbrown,leather,darkbrown,wood,so06.jpg,,414,183,129,10000,,,,,,,,,,,,,,,
so07,so07.glb,,Ceni Lagoon Blue Loveseat,sofa,seagreen,cloth,sienna,wood,so07.jpg,,1608,876,780,15000,,,,,,,,,,,,,,,
so09,so09.gltf,,sofa ,sofa,tan,leather,tan,wood,so09.jpg,,216,95,100,9530,,,,,,,,,,,,,,,
so10,so10.glb,,sofa black,sofa,black,leather,black,wood,so10.jpg,,201,91,85,10000,,,,,,,,,,,,,,,
so12,so12.glb,,Three-Seater Sofa,sofa,sienna,cloth,sienna,wood,so12.jpg,,978,383,325,12000,,,,,,,,,,,,,,,
ta08,ta08.glb,,Wicker coffee table,table,tan,wood,tan,wood,ta08.jpg,,99983,59979,30097,15000,,,,,,,,,,,,,,,
bs01,bs01.glb,,Wooden Shelf,bookshelf,saddlebrown,wood,saddlebrown,wood,bs01.jpg,,62,13,35,6500,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
